round,accuracy,f1_score,auc_roc,dp_noise_scale,agg_client_count,zkip_failures,delta_norm,ebcd_alert,tcm_state_count,ebcd_variance,ebcd_kurtosis,ebcd_skewness
1,0.019840425531914892,0.01807561483724208,0.48649190419750227,13.876446814698642,17,0,2667.118446911083,0,1,12.043055550838321,0.036722792276337124,-0.024511300738488916
2,0.018670212765957445,0.018393285938020414,0.4915411612511564,13.694909311743647,15,0,2626.35614851709,0,2,25.451871401611978,0.04720773321831473,0.005898204134054498
3,0.019202127659574467,0.019344048275178775,0.4837312991443109,14.517585807698227,16,0,2790.2880204418943,0,3,39.19946595674909,0.045436626481659914,0.007388518248901874
4,0.01776595744680851,0.017510130990917885,0.4865629263991675,13.505630084781048,15,0,2595.0073292951515,0,4,51.79247155884751,-0.016063435174676677,0.0044349619590583296
5,0.020425531914893616,0.020479427241746513,0.489501579845051,14.442517662331593,17,0,2772.8415466289352,0,5,64.27520041858838,0.02506862221840045,0.010008281163796984
6,0.021382978723404257,0.021407440278631968,0.49539630694958364,13.819193014900392,19,0,2653.7710175307598,0,6,74.89962951230922,0.022711482313560794,0.01008789358338588
7,0.01925531914893617,0.019496370771217734,0.494537300531915,13.894573661708726,18,0,2670.4682336774085,0,7,86.63620441819457,0.03157400998027304,0.016619719168193343
8,0.019627659574468086,0.01901572623244089,0.4986452980457909,14.71420950003038,15,0,2825.9071914471374,0,8,101.41276442191395,0.035017818239056364,0.025124675367457962
9,0.021382978723404257,0.021407440278631968,0.49539630694958364,13.784625257475705,19,0,2650.0545909016014,0,9,74.89962951230922,0.022711482313560794,0.01008789358338588
10,0.02574468085106383,0.025134047620657293,0.4995187485545791,13.823445930148416,18,0,2656.625400022238,0,10,86.35046830037942,0.03245846890678861,0.0027755502804338475
11,0.02797872340425532,0.02554587339269839,0.5090908808395005,13.706477543904601,16,0,2632.310927864177,0,11,98.86391908742944,0.0018474729761606135,0.004932383917097838
12,0.029574468085106383,0.027151259576810846,0.5236439436864014,13.75586800604501,17,0,2640.100247466598,0,12,110.57077846298039,0.0398352991016786,0.004463848740493303
13,0.025372340425531915,0.024672948931948196,0.5130187297641072,14.535822526450483,14,0,2790.27185524168,0,13,125.73897865777838,0.02625788977746124,-0.006928723812982289
14,0.025425531914893617,0.02450849554684001,0.5092645510522662,13.414805305680705,14,0,2578.4920451927405,0,14,139.7724200752037,0.02304040291626208,-0.005630142494667273
15,0.02622340425531915,0.025194658624131946,0.5135895076896391,13.851444289385176,17,0,2660.89829167453,0,15,152.7059196425514,0.025911585730972853,-0.013003998966339862
16,0.028085106382978724,0.02658893488017627,0.5169829165703054,13.70292909192929,18,0,2630.0678105077573,0,16,163.89137318997163,0.003064589345033397,-0.011294406617216545
17,0.02675531914893617,0.026145426545734148,0.5151524788968548,13.773300576338706,17,0,2646.984922084337,0,17,175.55520284078764,0.0033383167695815175,-0.004596967093622358
18,0.02617021276595745,0.02623721198377946,0.5141491284111933,13.43799850659036,15,0,2582.719802336792,0,18,188.62549296473688,-0.010168270657832323,-0.009466411361370525
19,0.028085106382978724,0.02658893488017627,0.5169829165703054,13.715509736857836,17,0,2632.4781766850992,0,19,163.89137318997163,0.003064589345033397,-0.011294406617216545
20,0.028085106382978724,0.02658893488017627,0.5169829165703054,13.800593041343044,20,0,2652.301145052717,0,20,163.89137318997163,0.003064589345033397,-0.011294406617216545
21,0.028085106382978724,0.02658893488017627,0.5169829165703054,13.656391057195759,16,0,2627.5821595742655,0,21,163.89137318997163,0.003064589345033397,-0.011294406617216545
22,0.028085106382978724,0.02658893488017627,0.5169829165703054,14.23723793156887,15,0,2736.99512539109,0,22,163.89137318997163,0.003064589345033397,-0.011294406617216545
23,0.028085106382978724,0.02658893488017627,0.5169829165703054,14.101642131602821,16,0,2710.998060827837,0,23,163.89137318997163,0.003064589345033397,-0.011294406617216545
24,0.028085106382978724,0.02658893488017627,0.5169829165703054,13.796373047719532,17,0,2648.517742178455,0,24,163.89137318997163,0.003064589345033397,-0.011294406617216545
25,0.029148936170212764,0.02637384541062505,0.5197663245837189,15.775551114584559,17,0,3028.9291565345675,0,25,177.24204245975127,0.025638642597016315,0.002949459244247233
26,0.03175531914893617,0.028986845487868618,0.5278293319264571,16.07328400948278,19,0,3085.320046240235,0,26,191.08625981958198,0.018549902533457008,-0.0009611574354244423
27,0.028351063829787235,0.02586200430066965,0.5235662147317299,16.31076992614459,16,0,3139.241706166697,0,27,208.83786811671752,-0.0038482897967169194,-0.012402332316414078
28,0.02617021276595745,0.02401794505075442,0.5251691937442183,18.884156139104004,18,0,3623.79418715524,0,28,228.7389247640459,-0.00838033750388778,-0.020981018056478774
29,0.03175531914893617,0.028986845487868618,0.5278293319264571,19.989187718785903,18,0,3844.337777970408,0,29,191.08625981958198,0.018549902533457008,-0.0009611574354244423
30,0.03175531914893617,0.028986845487868618,0.5278293319264571,22.62042224115309,19,0,4342.481863680906,0,30,191.08625981958198,0.018549902533457008,-0.0009611574354244423
31,0.03175531914893617,0.028986845487868618,0.5278293319264571,25.283237797692916,17,0,4850.040660787315,0,31,191.08625981958198,0.018549902533457008,-0.0009611574354244423
32,0.03175531914893617,0.028986845487868618,0.5278293319264571,23.76702643218985,17,0,4556.812741876717,0,32,191.08625981958198,0.018549902533457008,-0.0009611574354244423
33,0.03175531914893617,0.028986845487868618,0.5278293319264571,24.160886989131992,15,0,4642.039385850106,0,33,191.08625981958198,0.018549902533457008,-0.0009611574354244423
34,0.03175531914893617,0.028986845487868618,0.5278293319264571,25.927998305940413,18,0,4978.38385040311,0,34,191.08625981958198,0.018549902533457008,-0.0009611574354244423
35,0.03175531914893617,0.028986845487868618,0.5278293319264571,21.878674808505334,17,0,4208.602396245784,0,35,191.08625981958198,0.018549902533457008,-0.0009611574354244423
36,0.03175531914893617,0.028986845487868618,0.5278293319264571,23.54279783855132,17,0,4518.061865628404,0,36,191.08625981958198,0.018549902533457008,-0.0009611574354244423
37,0.03175531914893617,0.028986845487868618,0.5278293319264571,22.765856716840116,18,0,4378.584810711553,0,37,191.08625981958198,0.018549902533457008,-0.0009611574354244423
38,0.03175531914893617,0.028986845487868618,0.5278293319264571,23.758419511777348,17,0,4564.052071754516,0,38,191.08625981958198,0.018549902533457008,-0.0009611574354244423
39,0.03175531914893617,0.028986845487868618,0.5278293319264571,22.84081907833385,16,0,4391.236532617717,0,39,191.08625981958198,0.018549902533457008,-0.0009611574354244423
40,0.03175531914893617,0.028986845487868618,0.5278293319264571,23.96252330104558,17,0,4604.446209569663,0,40,191.08625981958198,0.018549902533457008,-0.0009611574354244423
41,0.03175531914893617,0.028986845487868618,0.5278293319264571,24.553813708069708,18,0,4718.985874663271,0,41,191.08625981958198,0.018549902533457008,-0.0009611574354244423
42,0.036542553191489364,0.03252615276570347,0.5366993582331175,23.843714372120914,17,0,4587.3351258057955,0,42,231.872362872894,0.05838878946071313,0.0199615387245317
43,0.03531914893617021,0.03142319647938508,0.5412547771160963,22.765849840890002,18,0,4370.282874060558,0,43,266.15048349895585,0.04204437145677309,0.008920692131242048
44,0.03074468085106383,0.028143485589280464,0.535311262719704,23.843714367743726,17,0,4585.044515253875,0,44,305.7183627199142,0.029051009596097632,0.024676527741966103
45,0.036542553191489364,0.03252615276570347,0.5366993582331175,22.84081870695251,16,0,4386.210240334576,0,45,231.872362872894,0.05838878946071313,0.0199615387245317
46,0.036542553191489364,0.03252615276570347,0.5366993582331175,26.08443170239668,15,0,5007.677613499556,0,46,231.872362872894,0.05838878946071313,0.0199615387245317
47,0.036542553191489364,0.03252615276570347,0.5366993582331175,25.08286306498446,19,0,4822.215373167728,0,47,231.872362872894,0.05838878946071313,0.0199615387245317
48,0.03696808510638298,0.03135244358105141,0.542911587939408,25.897345973498165,18,0,4979.755542747133,0,48,272.33492446948105,0.0308507098556996,0.015162426708193887
49,0.030585106382978722,0.027264372340751453,0.5369574684898243,20.42071828828947,16,0,3917.9039151946818,0,49,302.2305517693606,0.032092808340666856,0.014528794869468717
50,0.03468085106382979,0.030468707475876673,0.5369923956406103,24.87312041176794,19,0,4779.748364305061,0,50,339.66805959526516,0.016991107931327853,0.006582400801730445
